Tipo; Descrição
ISTJ; Calmo, sério, obtenha sucesso com meticulosidade e confiabilidade. Prático, prático, realista e responsável. Decida logicamente o que deve ser feito e trabalhe para isso de forma constante, independentemente das distrações. Tenha prazer em fazer tudo em ordem e organizado – seu trabalho, sua casa, sua vida. Valorize as tradições e a lealdade.
ISFJ; Calmo, sério, obtenha sucesso com meticulosidade e confiabilidade. Prático, prático, realista e responsável. Decida logicamente o que deve ser feito e trabalhe para isso de forma constante, independentemente das distrações. Tenha prazer em fazer tudo em ordem e organizado – seu trabalho, sua casa, sua vida. Valorize as tradições e a lealdade.
INFJ; Procure significado e conexão em idéias, relacionamentos e posses materiais. Quer entender o que motiva as pessoas e é perspicaz sobre os outros. Consciente e comprometido com os valores da empresa. Desenvolva uma visão clara sobre a melhor forma de servir ao bem comum. Organizado e decisivo na implementação de sua visão.
INTJ; Ter mentes originais e grande impulso para implementar suas ideias e alcançar seus objetivos. Veja rapidamente padrões em eventos externos e desenvolva perspectivas explicativas de longo alcance. Quando comprometido, organize um trabalho e execute-o. Céticos e independentes, têm altos padrões de competência e desempenho – para si próprios e para os outros.
ISTP; Observadores tolerantes e flexíveis, silenciosos até que apareça um problema, então ajam rapidamente para encontrar soluções viáveis. Analise o que faz as coisas funcionarem e obtenha prontamente grandes quantidades de dados para isolar o núcleo dos problemas práticos. Interessado em causa e efeito, organize os fatos usando princípios lógicos, valorize a eficiência.
ISFP; Calmo, amigável, sensível e gentil. Aproveite o momento presente, o que está acontecendo ao seu redor. Gostam de ter seu próprio espaço e de trabalhar dentro do seu tempo. Leal e comprometido com seus valores e com as pessoas que são importantes para eles. Não gosto de desentendimentos e conflitos, não force suas opiniões ou valores sobre os outros.
INFP; Idealista, fiel aos seus valores e às pessoas que são importantes para ele. Quer uma vida externa que seja congruente com seus valores. Curioso, rápido para ver as possibilidades, pode ser um catalisador para a implementação de ideias. Procure compreender as pessoas e ajudá-las a realizar seu potencial. Adaptável, flexível e de aceitação, a menos que um valor seja ameaçado.
INTP; Procure desenvolver explicações lógicas para tudo o que lhes interessa. Teórico e abstrato, interessado mais em ideias do que em interação social. Silencioso, contido, flexível e adaptável. Possui habilidade incomum de se concentrar em profundidade para resolver problemas em sua área de interesse. Cético, às vezes crítico, sempre analítico.
ESTP; Flexíveis e tolerantes, eles têm uma abordagem pragmática focada em resultados imediatos. Teorias e explicações conceituais os aborrecem – eles querem agir energicamente para resolver o problema. Concentre-se no aqui-e-agora, espontâneo, aproveite cada momento em que eles podem ser ativos com os outros. Desfrute de conforto e estilo materiais. Aprenda melhor fazendo.
ESFP; Extrovertido, amigável e receptivo. Amantes exuberantes da vida, das pessoas e dos confortos materiais. Gosto de trabalhar com outras pessoas para fazer as coisas acontecerem. Traga bom senso e uma abordagem realista para o trabalho e torne o trabalho divertido. Flexível e espontâneo, adapta-se prontamente a novas pessoas e ambientes. Aprenda melhor experimentando uma nova habilidade com outras pessoas.
ENFP; Calorosamente entusiasmado e imaginativo. Veja a vida cheia de possibilidades. Faça conexões entre eventos e informações muito rapidamente e prossiga com confiança com base nos padrões que eles veem. Deseje muitas afirmações de outras pessoas e dê prontamente apreço e apoio. Espontâneo e flexível, muitas vezes contam com sua habilidade de improvisar e sua fluência verbal.
ENTP; Rápido, engenhoso, estimulante, alerta e franco. Engenhoso na resolução de problemas novos e desafiadores. Hábil em gerar possibilidades conceituais e então analisá-las estrategicamente. Bom para ler outras pessoas. Entediado com a rotina, raramente fará a mesma coisa da mesma maneira, apto a se voltar para um novo interesse após o outro.
ESTJ; Prático, realista, prático. Decisivo, mova-se rapidamente para implementar decisões. Organize projetos e pessoas para fazer as coisas, concentre-se em obter resultados da maneira mais eficiente possível. Cuide dos detalhes da rotina. Tenha um conjunto claro de padrões lógicos, siga-os sistematicamente e queira que outros também o façam. Forte na implementação de seus planos.
ESFJ; Caloroso, consciencioso e cooperativo. Queira harmonia em seu ambiente, trabalhe com determinação para estabelecê-la. Gosta de trabalhar com outras pessoas para concluir as tarefas com precisão e no prazo. Leal, siga em frente mesmo em questões pequenas. Observe o que os outros precisam em seu dia-a-dia e tente prover. Quer ser apreciado por quem são e pelo que contribuem.
ENFJ; Caloroso, empático, responsivo e responsável. Altamente sintonizado com as emoções, necessidades e motivações dos outros. Encontre o potencial em todos, queira ajudar os outros a realizarem seu potencial. Podem atuar como catalisadores para o crescimento individual e de grupo. Leal, receptivo a elogios e críticas. Sociável, facilita outros em um grupo e fornece liderança inspiradora.
ENTJ; Frank, decidido, assume prontamente a liderança. Veja rapidamente procedimentos e políticas ilógicas e ineficientes, desenvolva e implemente sistemas abrangentes para resolver problemas organizacionais. Desfrute de planejamento de longo prazo e definição de metas. Normalmente bem informado, bem lido, gosta de expandir seus conhecimentos e transmiti-los a outras pessoas. Forte na apresentação de suas idéias.


